,Unnamed: 0,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,Credit_Score,Amount_invested_monthly
32807,48666,44,7,42311.16,3759.93,5,6,11,1,1690,12,17.0,6.84,3.0,2,438.23,25.96478170711049,20,0,24.883031695806896,5,255.55844999493956,2,385.5515183092536
32813,17558,36,12,18214.24,1594.8533333333337,5,7,20,3,944,23,16.0,4.91,1.0,3,1079.55,31.92347760915332,25,0,23.67297843331018,3,294.65885632030813,2,111.15349857971505
32815,19501,35,13,17646.25,1230.5208333333333,4,6,14,4,2073,26,20.0,18.7,4.0,2,414.4,26.69672803614285,31,1,40.65314276255058,6,319.34346091798693,2,53.05547965279578
32818,59866,43,2,17535.57,1628.2975,4,6,29,2,2150,34,14.0,9.55,8.0,2,2476.35,34.66637734504768,6,1,28.6788368308862,3,364.42230010674035,1,39.728613062373384
32826,11363,32,4,58995.8,4886.316666666667,6,6,18,1,481,21,19.0,9.13,2.0,3,974.73,35.946347420275906,27,1,41.64582635053812,1,577.5091748843014,2,119.47666543182713
32830,45250,31,15,93256.68,7697.39,5,7,19,1,233,29,14.0,16.79,5.0,2,1125.67,27.02835303513339,10,1,69.62122211054319,4,474.0919937436085,2,506.0257841458484
32832,77101,37,10,35701.42,2752.1183333333333,7,4,11,1,1440,9,9.0,7.69,1.0,3,1462.79,36.892134591533896,18,1,18.43133665502912,2,357.72765520701665,2,159.0528414712875
32846,38321,19,2,14719.33,1289.070193202975,4,5,9,7,829,9,19.0,15.31,7.0,2,2421.78,37.49589839049632,7,1,148.10819233573352,5,229.14512527658218,1,124.7484058513764
32849,35583,46,7,36742.54,2893.8783333333336,3,6,9,4,1206,22,14.0,19.73,9.0,2,1149.65,27.79648568834596,30,1,80.43489216058977,5,238.11270925670738,2,260.84023191603626
32859,68178,35,8,32129.0,2514.4166666666665,3,7,10,2,1910,29,19.0,16.84,8.0,2,2554.25,29.17510778783991,34,1,34.996481164896124,1,383.1441427470696,1,83.30104275470099
32863,35112,29,7,93169.92,7794.16,6,7,18,2,1197,6,12.0,19.62,1.0,2,1110.09,30.572951973229124,19,1,112.34029768600637,4,455.51953393679156,2,491.5561683772022
32870,8032,34,14,56643.04,4479.253333333333,6,5,8,2,1199,10,9.0,11.27,3.0,2,1254.91,24.345194336355465,17,0,76.55115343481536,1,572.1068672703409,2,49.267312628177116
32871,17808,25,6,34742.74,2881.228333333333,6,4,19,3,1281,21,16.0,16.19,4.0,2,2503.43,39.71945398197881,33,1,59.097375287093975,1,376.47923334578115,1,102.54622470045813
32873,26575,33,14,27694.66,2404.90261822173,7,4,10,2,226,30,20.0,6.69,5.0,2,1376.27,29.57872243992033,17,1,131.36102904849366,5,396.4710444336985,0,97.24247496274464
32877,80672,38,9,44983.95,3958.6625,9,9,26,7,1034,16,15.0,2.22,11.0,0,2998.57,24.52830777005177,33,1,154.7434287772285,3,262.06667050731807,1,249.05615071545338
32885,51395,28,5,17642.1,1386.175,2,7,7,3,1646,14,3.0,4.0,1.0,1,548.31,24.59426632477561,34,0,39.5204314733039,5,248.69896168832585,2,140.3981068383703
32887,10934,47,2,101296.71,8456.3925,3,4,4,3,1054,13,3.0,5.82,1.0,1,807.24,34.03834917952588,8,0,234.4914209950245,3,198.47130200767967,0,682.6765269972958
32891,22212,23,14,53370.42,4618.535,6,7,7,3,2042,21,16.0,8.68,3.0,2,240.27,38.645675587672784,13,0,96.55527043921596,5,370.1358466040197,2,285.16238295676436
32905,46439,49,14,97164.6,8167.05,3,5,18,3,428,9,18.0,13.53,1.0,3,1095.37,36.182933004272186,21,1,124.33994361460114,0,840.0471779372722,1,92.31787844812686
32941,63067,32,5,63371.56,5533.963333333332,6,6,8,3,1901,30,18.0,4.77,7.0,2,756.94,38.16271388039229,19,0,104.86974369786336,1,542.9242273298804,2,155.60236230558962
32942,69621,21,5,66482.2,5340.183333333333,7,5,29,6,755,36,18.0,16.91,11.0,0,2681.87,35.17656793617804,30,1,222.16700492253028,4,325.16397750379025,1,266.68735090701284
32947,15853,40,13,52742.91,4441.2425,4,7,15,3,2043,20,14.0,13.79,11.0,2,1645.23,35.3957581445185,3,1,76.63686697494155,6,564.5610669711691,1,42.92631605388939
32958,76817,38,8,66858.27,5770.5225,3,6,20,4,2015,4,10.0,4.16,4.0,2,601.58,36.90563380792148,20,0,175.0151817473682,0,502.5250870190163,2,139.51198123361556
32960,89159,48,1,46449.98,4081.831666666667,3,5,18,3,1426,25,18.0,3.5,7.0,2,1164.35,31.21787166207316,27,0,95.96768768235808,2,374.6559481341706,0,197.55953085013797
32970,58765,21,12,97612.14,8014.345,8,4,9,4,1843,7,12.0,11.72,7.0,3,1477.42,26.666156170538567,2,1,261.5834257219568,3,551.7262902745434,1,258.1247840035
32974,33633,42,2,30366.16,2329.5133333333333,7,4,18,4,1202,17,8.0,7.1099999999999985,1.0,3,804.31,39.06245849060144,34,1,62.00134473820575,1,383.27132159368483,2,37.678667001442705
32977,77931,52,12,24376.73,1926.394166666667,7,4,9,1,955,24,8.0,8.9,3.0,2,1125.3,34.44781991596282,8,1,18.30518956975858,5,227.9191077612838,2,236.41511933562433
32982,66210,41,1,35198.01,2864.1675,3,7,9,2,1195,9,10.0,3.28,3.0,1,863.31,25.71667125430094,26,0,43.60682177445486,6,258.56067519407486,0,254.2492530314703
32994,74701,26,2,82892.52,6786.71,9,7,32,4,1873,30,12.0,7.31,7.0,3,1250.71,30.735416716682213,11,1,223.46937855117787,1,501.5738330625637,1,203.6277883862584
33012,71445,37,12,14007.82,1206.3183333333334,9,6,19,5,883,49,14.0,17.9,11.0,0,3279.57,24.58558343052309,4,1,37.354982292308605,3,303.25856007130625,2,50.01829096971849
33023,84322,34,6,20364.57,1626.0475,6,8,32,3,1898,23,9.0,10.3,9.0,2,2500.04,39.24896387382192,33,1,26.168108925039405,4,288.6356682572254,1,127.8009728177352
33026,79152,28,8,30883.32,2311.61,6,5,8,3,1106,10,10.0,9.24,6.0,2,1891.76,25.65701644835703,7,1,50.14969838870782,5,205.45495105866524,2,265.5563505526269
33031,36089,26,3,34677.86,2725.8216666666667,6,5,16,7,2138,27,23.0,7.57,6.0,0,2345.02,29.17316200068531,7,1,182.5851834962603,5,243.46905570394986,2,136.5279274664566
33064,41104,33,14,31225.44,2774.12,8,5,11,1,0,9,15.0,5.42,2.0,2,150.49,25.909826970769146,15,0,25.533305251976586,2,401.9936627482617,2,109.8850319997617
33104,35835,42,2,21336.9,1656.075,3,5,6,1,481,17,20.0,17.75,7.0,2,1338.82,25.35030474410328,2,1,11.230332444715508,6,357.08630175502265,2,87.29086580026178
33126,12162,27,11,22870.49,1685.874166666667,4,4,13,1,233,28,11.0,17.92,7.0,2,1085.08,25.2818424876162,25,1,12.182154032725595,3,323.45973588536714,2,102.94552674857395
33131,34267,37,6,60965.31,5012.4425,7,4,13,1,1200,7,14.0,3.85,2.0,3,287.4,28.58974852364189,22,0,28.6502685693304,0,667.0358718174978,2,45.558109613171844
33170,66020,46,6,83627.12,6843.926666666666,6,7,9,3,339,5,20.0,8.34,9.0,2,2312.09,35.41877395128003,32,1,189.56363240412892,1,568.9159841161468,2,175.9130501463908
33175,49530,18,0,16310.84,1333.236666666667,7,6,8,4,2108,7,16.0,5.29,3.0,2,217.4,24.62843065152876,14,0,35.569760240023385,6,239.57860631747718,2,148.1753001091661
33179,46309,30,0,42900.21,3480.0175,8,5,17,4,1845,18,13.0,10.47,4.0,2,2696.09,39.2122796900616,2,1,111.20931082610218,1,427.7175050025965,1,59.07493417130139
33182,48857,41,12,93196.41,7991.3675,8,7,15,4,1929,20,11.0,9.38,2.0,2,834.68,35.038775924632,20,1,297.04788950183325,5,439.2600690155795,2,352.8287914825873
33193,85333,40,5,16758.14,1545.9894225556588,8,6,24,5,1650,28,10.0,9.15,10.0,3,2392.91,35.51639310481187,30,1,112.3072612243786,5,322.75939526135437,1,83.80675429194113
33202,43322,26,15,22709.94,2057.495,6,7,13,4,333,8,16.0,11.59,3.0,2,994.73,26.05201260717705,14,0,44.98950838750849,3,254.8301898442952,2,175.92980176819634
33206,30172,40,15,38325.88,2942.8233333333333,3,7,22,7,189,15,20.0,15.88,7.0,2,1765.56,29.003799988877468,34,1,173.69503452190585,1,329.9204509308388,1,40.666847880588655
33209,40353,32,9,29349.0,2442.75,7,6,17,2,1685,31,17.0,9.88,1.0,2,1419.52,28.94867538818088,34,0,45.31352648250954,2,361.44711604350937,2,97.51435747398114
33215,38707,21,6,78604.47,6540.3725,6,5,4,1,1440,18,12.0,1.45,1.0,3,1078.64,39.09637624739821,20,0,63.5822673268125,2,730.7350770102214,2,119.71990566296614
33222,87098,46,8,60593.8,5033.483333333334,3,4,12,2,2158,27,8.0,18.69,6.0,2,798.77,27.03720672937666,2,1,96.7119735950985,1,447.1593796705145,2,209.47698006772038
33225,54530,44,12,32394.77,2614.5641666666666,6,4,8,4,1955,25,20.0,7.14,6.0,2,475.41,30.59741868828442,9,0,86.04239282710735,5,233.1139157717654,2,232.30010806779393
33233,60943,48,1,116624.4,9633.7,5,5,6,3,792,30,19.0,14.67,3.0,3,394.94,37.03017168721087,17,1,259.7866933766731,2,435.37436535813197,2,528.2089412651949
33234,30081,26,4,57437.4,4916.45,9,5,31,7,966,39,16.0,15.85,7.0,0,2625.73,24.40200624218398,32,1,175.0096263802841,6,427.62341974175115,2,139.01195387796471
33240,76792,28,4,77142.69,6617.5575,3,5,6,6,129,14,14.0,18.21,6.0,2,523.92,37.3547653260149,7,1,196.81398137081788,0,655.1775697065368,2,49.76419892264521
33256,17033,42,7,17004.68,1572.0566666666666,6,8,21,7,913,20,13.0,11.51,12.0,3,2272.07,33.418466755887835,6,1,55.064722142367366,5,337.80655380808116,1,54.33439071621812
33284,29811,20,10,54889.92,4512.16,7,4,17,6,1611,20,8.0,16.48,5.0,2,1603.48,31.98973227928295,3,1,147.0473710559911,0,479.24785389154334,1,64.9207750524655
33288,34724,38,9,15040.47,1367.3725,3,9,19,7,99,19,17.0,11.32,11.0,2,2386.98,32.136133650753735,30,1,52.9580088388426,5,211.94286356621288,1,161.8363775949445
33293,15503,35,7,56038.28,4860.856666666667,5,4,10,2,1903,7,14.0,8.03,4.0,1,264.52,31.501847501054453,14,0,76.22103398122317,1,575.8973305602418,0,83.96730212520156
33316,87205,38,7,98330.8,8399.233333333334,7,5,13,4,1764,8,10.0,19.45,2.0,2,1050.52,28.25042845774184,16,1,209.7738216597944,0,706.15170914366,2,163.997802529879
33318,13532,49,2,44066.78,3424.231666666666,5,4,6,4,2122,8,5.0,6.29,2.0,1,289.59,26.34330231505578,26,0,80.9079238308648,1,439.55842272954806,0,71.95682010625386
33333,69037,19,12,61352.64,5014.72,3,7,19,5,1784,30,9.0,17.32,4.0,2,497.13,37.46107208891555,9,1,225.79745371982227,1,415.08064769904314,2,110.59389858113464
33339,67933,30,7,38735.57,3187.964166666666,2,4,3,2,1683,15,11.0,8.06,2.0,1,800.94,33.475615995575936,9,0,43.94375079661637,3,343.6230214061782,2,201.22964446387215
33343,92479,51,1,64969.05,5154.0875,3,6,6,2,1910,21,16.0,8.61,4.0,2,765.07,40.181250805481184,15,0,96.42407742593215,1,551.4406608154206,1,117.54401175864719
33345,58950,42,5,19833.55,1674.7958333333331,7,7,23,4,1285,28,20.0,7.88,9.0,3,1316.95,36.05059271303357,31,1,50.840059486226245,5,185.66045015488652,1,220.97907369222057
33346,58204,20,1,17923.435,1203.6195833333334,7,7,8,1,955,16,10.0,16.42,1.0,2,1300.81,34.7689197371223,17,1,7.847698736792763,6,269.83428051836177,2,112.67997907817885
33364,80887,33,11,63563.88,5272.99,8,7,17,7,1242,6,16.0,18.45,8.0,3,2624.3,28.09663215714271,6,0,312.57942404207574,2,217.11321823801723,1,257.606357719907
33367,37779,23,11,36641.86,3008.488333333333,6,6,15,2,1199,33,17.0,10.23,7.0,2,1467.95,38.63886820130681,22,1,37.41635945922898,2,343.85945329626816,2,179.5730205778362
33376,93498,32,8,20223.0,1614.25,5,7,15,5,1912,9,15.0,15.03,11.0,2,393.55,29.25726949271855,31,1,73.64467479040795,4,216.07047389324381,2,151.70985131634822
33384,27966,40,7,60410.94,5274.245,4,7,17,4,2012,18,9.0,7.65,9.0,2,1852.86,33.71661008313825,8,0,149.9263873826631,5,477.52380489283166,2,189.9743077245053
33385,50635,20,10,118036.28,9899.356666666668,3,4,13,3,894,14,17.0,16.74,7.0,2,175.4,32.891278757995856,11,1,233.0884415404762,2,595.6166737182772,2,421.23055140791354
33389,46147,42,7,18280.185,1498.34875,5,7,17,1,481,19,16.0,9.53,2.0,2,556.78,37.78805041794509,8,1,13.453568460314596,5,267.58562580708667,2,158.79568073259873
33395,41076,43,13,29503.65,2309.6375000000007,5,5,14,3,1306,5,10.0,4.09,2.0,2,329.02,31.00091398627252,14,0,50.982209993722016,5,241.7411648915036,1,228.24037511477442
33425,54926,48,10,18290.89,1228.2408333333333,8,4,14,1,1440,27,17.0,3.16,3.0,2,527.37,36.5292179171472,25,1,12.796158289802731,5,250.0067853059564,2,150.02113973757415
33437,89624,27,12,19827.36,1469.28,8,7,17,1,0,20,10.0,9.96,3.0,3,282.29,25.54073353407599,15,0,15.0412032875037,5,342.84488061046045,2,79.04191610203587
33448,19667,27,1,103351.8,8465.65,3,7,8,2,1910,12,8.0,10.03,8.0,2,1246.62,27.23525011883121,32,1,140.85823594664058,0,826.5924927204575,1,119.11427133290206
33460,29844,40,3,62901.08,5025.756666666667,4,6,10,3,1025,8,14.0,18.58,6.0,2,228.25,27.429258402675323,4,1,81.6412702885858,2,505.55804818402777,2,175.37634819405312
33464,53196,23,3,59240.0,4697.666666666667,6,5,9,2,472,14,17.0,11.56,2.0,2,469.89,31.28881620276057,9,1,69.26616417252536,3,370.4383167635577,2,300.0621857305838
33466,81445,43,8,14791.06,1499.5883333333334,7,8,15,3,90,52,20.0,4.92,10.0,0,2292.04,25.568883966661936,5,1,22.194640475743352,5,336.6030131322725,1,81.1611797253175
33470,31738,28,3,17116.42,1590.368333333333,8,6,22,7,513,37,22.0,3.64,10.0,0,2574.89,35.90876072857183,10,1,89.75068619884186,5,300.9197919687268,1,58.36635516576467
33471,84630,41,4,50649.60000000001,4431.8,3,5,23,6,738,16,10.0,8.33,8.0,2,2060.05,26.01000283499945,10,1,184.66116569843905,1,370.4999923554223,1,138.0188419461388
33472,37640,48,15,10328.58,1118.715,6,4,11,1,1200,29,19.0,8.49,1.0,3,1137.12,31.849602867211303,15,1,4.4628374669131645,5,304.05397247267445,2,93.35469006041241
33482,48765,38,12,32955.92,2890.3266666666664,6,6,8,2,716,28,10.0,14.35,1.0,2,315.72,32.40717283094848,10,1,29.865025125226644,5,276.12898255522555,2,273.0386589862145
33483,9410,20,8,46640.82,3824.735,3,4,13,3,871,5,17.0,11.81,2.0,2,816.11,33.266012343602426,22,0,75.53576696978119,5,293.9964423404906,2,302.94129068972825
33499,11228,21,2,27956.77,2624.730833333333,5,5,20,2,1196,21,10.0,18.9,8.0,2,249.39,25.166502735658995,21,1,26.9887497741038,3,416.42308946288694,2,89.06124409634255
33507,81481,25,13,23977.89,1834.1575,3,5,16,4,1864,18,17.0,7.75,3.0,3,423.36,34.86673188304064,22,0,72.00967241916908,0,312.7281865748604,2,38.677891005970565
33511,40147,39,12,53225.37,4526.4475,6,7,30,2,1685,29,15.0,13.4,4.0,2,2090.45,38.92092736603839,33,1,45.165717587920426,4,391.8123224496576,1,295.6667099624221
33524,37343,33,1,77905.92,6635.16,6,4,8,3,23,27,18.0,16.62,5.0,2,1358.16,31.702393812257128,2,1,150.02684222220944,0,680.2388588396892,2,73.25029893810141
33533,43295,21,0,111642.18,9316.515,5,5,6,2,1681,4,10.0,2.29,5.0,1,1236.68,39.97627896645511,8,0,93.6486517685578,0,849.5838166320929,0,228.4190315993493
33566,73934,50,8,21129.93,1840.8275,3,4,3,4,564,14,19.0,9.82,9.0,2,611.4,32.29617978161716,8,0,39.594950914382245,2,370.3501565298577,2,34.1376425557601
33567,33178,17,8,44286.36,3561.53,6,6,31,2,475,12,15.0,7.5,10.0,2,2069.01,26.48758875692701,3,0,57.97158147311589,5,180.92351418358638,1,407.2579043432978
33573,42456,36,14,19012.94,1805.4116666666664,8,6,31,2,716,17,20.0,15.81,8.0,3,2670.43,35.85146199678465,31,1,25.1602705064398,3,341.2170176653741,1,84.16387849485277
33587,26843,25,8,17482.49,1181.8741666666667,6,6,29,5,55,52,23.0,22.18,9.0,0,2830.81,39.299821372291454,29,1,51.83320722819576,5,202.28823011349664,1,154.0659793249743
33617,81671,23,11,37968.01,3190.000833333333,2,5,5,3,1706,15,5.0,4.61,1.0,3,745.43,38.313411301026825,10,0,65.01749123560772,2,318.75552685781554,0,195.22706523991008
33644,59569,24,10,16618.17,1628.8475,6,9,17,2,2158,29,16.0,9.95,11.0,2,1467.27,29.637818467634805,11,1,21.097100510407188,4,321.112428800109,1,100.67522068948381
33664,57784,28,5,44614.56,3500.88,8,7,17,4,518,18,11.0,12.71,7.0,3,2613.46,24.636639003413144,10,1,134.66296614682057,2,248.85623863739963,2,226.56879521577977
33673,33536,52,8,77906.25,6399.1875,3,5,5,4,530,26,15.0,11.47,2.0,1,583.4,36.14952068677365,10,0,173.56855766187095,1,483.4601323537574,0,232.89005998437162
33686,28033,39,14,19769.99,1426.499166666667,6,5,23,5,1369,19,11.0,19.38,11.0,2,1641.97,31.77286857802477,31,1,81.97653726307796,1,250.02436331796082,1,60.64901608562792
33689,93770,45,1,34980.21,2616.0175,5,7,18,4,907,35,8.0,7.97,3.0,2,937.32,39.505700354897286,19,0,66.79673202036416,4,374.50140025430215,2,100.30361772533371
33690,53282,44,9,72524.2,6005.6833333333325,8,4,6,5,1476,8,16.0,12.04,7.0,2,1032.63,38.14560658309848,8,1,241.1131610055841,3,250.88788656342618,2,378.5672857643231
33702,56253,29,1,45780.86,3541.0716666666667,6,6,19,5,433,28,15.0,13.18,12.0,2,984.91,37.4899827667796,30,1,125.9581067817088,1,425.6902268267506,2,52.45883305820725
33721,76760,26,3,80673.29999999999,6822.774999999999,7,4,7,4,852,16,10.0,13.17,4.0,3,326.98,39.15161204650465,3,1,176.27890992524624,2,476.3491968702997,2,289.649393204454
33731,58934,21,4,19562.27,1877.1891666666668,8,6,20,5,988,21,9.0,8.3,9.0,3,1517.03,33.573592456459124,11,1,69.70056199812504,5,269.2335026251106,1,138.78485204343107
33741,65561,26,15,36996.83,3152.0691666666667,6,5,6,2,719,20,7.0,7.539999999999999,4.0,1,808.52,29.026913992128968,25,0,31.795658245091,3,427.28235005340883,1,126.12890836816692
33768,25418,37,7,82796.52,6927.71,3,5,6,1,1911,27,19.0,18.06,7.0,2,966.79,39.53539599657919,11,1,55.12145259502531,1,778.9983841801599,2,108.65116322481487
33781,78580,17,3,40944.82,3588.068333333333,7,7,17,3,1901,17,13.0,13.4,7.0,2,948.81,28.713384502298712,18,1,93.98416718975731,0,462.74182240597185,2,42.08084373760417
33804,6500,34,4,34266.08,3038.5066666666667,8,9,21,6,1637,17,10.0,10.07,7.0,2,1843.93,30.65298142718259,3,1,161.84401052451256,1,328.7434713656785,1,63.26318477647553
33805,53232,41,15,25434.13,2318.5108333333333,8,5,12,1,1440,17,14.0,12.04,8.0,2,606.48,38.11734944124525,31,1,17.080132728719068,5,199.901688796623,2,304.8692618079913
33807,57601,18,4,108818.2,9177.183333333332,6,5,4,3,617,25,16.0,3.5,6.0,1,1210.88,37.05472243509647,14,0,207.2870628596972,0,790.7139801318492,0,159.71729034178674
33817,20629,29,15,11831.605,1083.9670833333334,6,4,20,4,1918,6,15.0,2.13,5.0,2,860.8,25.685434521416987,21,0,33.34467082174971,5,296.97624401699807,0,68.07579349458558
33822,21871,41,14,18329.93,1312.4941666666666,7,6,6,6,1763,17,11.0,18.41,6.0,2,161.04,35.1546051267892,11,0,51.96709426169093,5,193.15956890967988,2,176.12275349529583
33828,20528,29,14,27403.02,2054.585,5,6,5,4,429,18,8.0,7.25,2.0,2,1060.13,38.48371992232256,22,1,75.22435917130426,2,351.5872923143771,2,38.64684851431859
33845,34761,38,15,95401.47,8171.1225,7,7,20,4,840,33,8.0,22.38,2.0,2,921.31,36.39002145461503,10,1,230.0957676172412,2,636.5049090539349,2,210.51157332882417
33867,75871,19,8,17896.2,1597.35,4,5,16,1,955,11,15.0,8.74,2.0,2,1263.91,37.57037653781315,10,1,10.578359076265064,3,295.21217995488587,0,123.94446096884904
33880,91314,41,6,26775.49,2408.290833333333,8,4,7,1,725,16,19.0,6.42,5.0,3,1082.13,34.102038918050056,19,0,13.484294528386595,1,442.8703316004496,2,34.47445720449715
33883,63759,34,10,59226.15,4780.5125,7,4,7,3,1939,18,13.0,8.7,3.0,1,710.49,37.14052434785263,18,0,94.8841567962378,0,529.8848993146506,2,93.28219388911141
33902,9667,33,3,19633.99,1720.1658333333337,7,9,32,4,179,47,19.0,7.41,10.0,0,1457.54,29.73826835692084,34,1,62.67126229832051,6,291.27816086325834,1,68.06716017175454
33907,9430,29,7,20790.085,2015.5070833333327,2,7,12,4,1127,8,8.0,5.01,5.0,1,695.85,38.88262244436532,16,0,50.34316991146921,5,359.1753678192798,1,82.03217060258434
33931,33176,17,8,44286.36,3561.53,6,6,31,2,475,14,15.0,7.5,10.0,2,2069.01,35.1888610818656,3,1,57.97158147311589,0,446.4860869270839,1,91.69533159980028
33935,36311,48,7,102260.0,8580.666666666666,5,5,7,3,1495,29,13.0,16.08,6.0,2,407.46,24.30390757342511,34,1,233.3445042913777,4,262.62691404763086,2,642.095248327658
33936,40542,42,0,73394.12,5968.176666666666,9,9,23,5,1710,18,17.0,19.85,11.0,0,2704.68,29.769547482318902,32,1,168.17678112425563,2,404.51130918343733,2,284.1295763589737
33949,24809,24,2,28263.5,2514.2916666666665,7,5,24,2,951,17,10.0,9.34,6.0,2,1993.21,30.13360238885912,6,1,32.21531559142727,5,379.8707028133903,1,129.34314826184902
33955,77156,44,2,34872.34,2751.028333333333,5,4,6,2,2156,29,15.0,4.7,3.0,2,1375.96,30.03634486450216,24,0,32.56399819657301,2,365.9909487611932,2,136.54788637556712
33982,62913,21,15,29704.64,2365.3866666666668,4,7,13,5,803,16,17.0,7.1,5.0,2,1713.04,37.17105263987668,6,1,68.74078854308499,4,283.23755268680685,2,164.56032543677478
34010,65046,46,0,42735.93,3632.3275,7,7,21,5,1321,7,17.0,10.06,5.0,2,1385.62,29.102637680965373,6,1,152.49643762681666,3,174.6402569735914,2,306.09605539959205
34012,31907,40,10,47523.0,4123.25,6,9,16,7,532,22,14.0,7.64,8.0,2,2101.96,30.59381996984291,31,1,273.34190506055097,4,297.47742454573927,1,121.50567039370979
34023,17553,36,12,18214.24,1594.8533333333337,5,7,20,3,944,22,16.0,4.91,1.0,2,1079.55,29.14238219088112,24,0,23.67297843331018,1,336.62415609283715,2,49.188198807186076
34026,73361,34,9,61614.58,5325.548333333333,5,5,10,2,1685,15,15.0,19.41,4.0,3,1047.98,38.26577188082899,11,1,85.8860471624414,0,569.8388556557443,2,116.8299305151478
34029,70062,27,11,93131.94,7871.995,2,6,8,4,1292,5,9.0,3.51,3.0,1,1097.18,32.34417591190506,22,0,269.50418923522943,3,213.68041894466342,2,574.0148918201073
34030,56718,35,3,18753.34,1623.7783333333334,5,4,11,4,1768,26,14.0,18.1,9.0,2,2575.62,31.41434562175347,34,1,54.39627002599162,4,335.94019006560825,2,52.0413732417335
34035,81799,37,5,34102.64,2742.8866666666668,7,5,26,5,1159,12,13.0,6.25,6.0,3,4057.35,29.80910574725409,2,1,140.11980298030753,0,322.28608352360413,1,51.88278016275506
34043,65874,38,13,19480.04,1365.3366666666668,3,4,23,6,123,7,13.0,10.09,9.0,3,2552.49,29.32701126649957,30,1,96.29274734549978,4,272.36393607685784,1,47.876983244309066
34054,44964,49,12,28101.46,2173.463806859156,5,7,8,3,1967,29,8.0,1.85,4.0,2,454.67,30.890382091098022,34,0,268.26801161579965,2,355.11154490146765,0,91.92380329024306
34055,89058,39,9,29269.81,2141.1508333333336,5,7,10,2,478,25,14.0,13.67,6.0,3,504.78,24.34175723628687,24,1,39.1765638815655,5,220.31248666312888,2,244.62603278863892
34058,87567,33,10,31938.39,2140.545816356962,4,7,19,2,224,14,8.0,4.73,2.0,2,1351.51,28.82869109994905,34,0,389.35988045579046,2,365.2145382684648,2,100.0655149187826
34060,84744,22,3,46880.49,3790.7075,6,7,23,5,1772,42,17.0,6.37,10.0,0,2192.18,32.995017200292594,11,1,106.72846162420971,3,309.7733487279136,2,232.5689396478767
34062,69121,47,7,84358.5,6730.875,2,4,7,2,1902,14,4.0,11.94,1.0,3,1460.18,26.937342510488463,13,0,86.72041696962972,5,361.0069196670916,2,515.3601633632788
34067,75233,30,12,110209.68,9011.14,4,7,7,4,362,10,3.0,2.02,4.0,1,482.73,25.20542649205327,7,0,298.19685509422874,2,298.99567249412786,2,563.9214724116432
34068,92994,39,12,20618.37,1425.1975,6,6,22,2,474,34,21.0,18.74,10.0,2,1681.09,31.81147096612424,10,1,21.806686430747003,5,316.2578403491941,1,94.4552232200589
34087,46904,30,7,34308.05,2718.004166666667,3,4,12,4,1422,22,17.0,12.68,2.0,2,1101.13,26.421513286535376,21,1,74.64845745168277,1,376.99877299439635,2,70.15318622058753
34097,73819,42,9,84261.29999999999,6772.774999999999,5,7,5,6,706,10,23.0,13.9,5.0,2,958.8,28.154028474859032,3,1,214.1273740745194,0,565.138324944161,1,138.01180098131954
34109,62911,42,1,16021.14,1583.095,8,6,16,4,1449,22,8.0,7.85,10.0,2,2136.31,28.71812334563777,8,1,30.631405250128363,5,330.09068379539826,2,87.5874109544734
34117,5738,27,11,38491.94,3098.661666666667,5,7,18,4,784,15,9.0,7.31,4.0,2,1659.15,37.3123586840166,5,1,82.01131524048988,4,254.7917596391416,2,253.06309178703518
34118,71207,32,13,39357.45,3125.7875,3,4,6,3,1621,10,4.0,8.16,2.0,3,1170.76,35.48153731510921,18,0,85.72237198656481,3,413.39853364912557,1,83.45784436430965
34126,49388,49,4,28420.92,2355.41,2,5,4,4,1529,9,11.0,4.55,3.0,1,433.44,37.54055336965861,17,0,86.15357285433218,6,222.07508339808038,0,197.31234374758742
34143,50103,44,6,35871.7,3131.308333333333,3,6,6,1,1690,17,4.0,7.87,5.0,1,176.96,32.616401251705945,20,0,24.5746424611922,6,454.77326136435,2,83.78292950779114
34144,66709,52,15,88296.18,7386.0149999999985,4,4,11,3,1161,14,6.0,6.87,5.0,1,1301.98,35.36885599505551,17,0,127.29563026902272,2,513.3382977637328,2,357.9675719672444
34148,65191,47,8,29819.42,2413.9516666666664,7,5,16,4,1718,12,9.0,9.64,8.0,2,1379.69,26.25691277156297,18,0,89.1634187085772,6,353.6674375998719,2,48.56431035821758
34156,54204,27,14,70968.8,5783.066666666668,6,6,18,7,1792,5,16.0,18.24,8.0,2,2162.07,39.640068301718365,7,1,368.8786134510215,0,316.38387460326163,2,133.0441786123836
34160,46071,26,2,10813.53,1149.1275,4,4,10,4,44,11,16.0,11.12,6.0,3,862.42,28.8579480410507,21,1,24.058783646903013,5,290.7560475652419,2,90.09791878785514
34170,73347,44,12,126559.52,10248.626666666669,5,5,9,4,551,23,11.0,11.02,6.0,2,262.19,27.70592000778129,9,1,400.3864230438645,3,531.8565133651466,1,362.6197302576555
